Municipios;Sexo;Periodo;Total
03026 Beniarbeig;Total;2003;1.358
03026 Beniarbeig;Total;2002;1.344
03026 Beniarbeig;Total;2001;1.254
03026 Beniarbeig;Total;2000;1.172
03026 Beniarbeig;Total;1999;1.205
03026 Beniarbeig;Total;1998;1.205
03026 Beniarbeig;Total;1997;""
03026 Beniarbeig;Total;1996;1.208
03027 Beniardá;Total;2022;218
03027 Beniardá;Total;2021;192
03027 Beniardá;Total;2020;200
03027 Beniardá;Total;2019;232
03027 Beniardá;Total;2018;178
03027 Beniardá;Total;2017;183
03027 Beniardá;Total;2016;202
03027 Beniardá;Total;2015;227
03027 Beniardá;Total;2014;208
03027 Beniardá;Total;2013;188
03027 Beniardá;Total;2012;248
03027 Beniardá;Total;2011;222
03027 Beniardá;Total;2010;230
03027 Beniardá;Total;2009;238
03027 Beniardá;Total;2008;258
03027 Beniardá;Total;2007;220
03027 Beniardá;Total;2006;208
03027 Beniardá;Total;2005;235
03027 Beniardá;Total;2004;199
03027 Beniardá;Total;2003;215
03027 Beniardá;Total;2002;193
03027 Beniardá;Total;2001;200
03027 Beniardá;Total;2000;205
03027 Beniardá;Total;1999;209
03027 Beniardá;Total;1998;216
03027 Beniardá;Total;1997;""
03027 Beniardá;Total;1996;224
03028 Beniarrés;Total;2022;1.078
03028 Beniarrés;Total;2021;1.083
03028 Beniarrés;Total;2020;1.099
03028 Beniarrés;Total;2019;1.118
03028 Beniarrés;Total;2018;1.118
03028 Beniarrés;Total;2017;1.137
03028 Beniarrés;Total;2016;1.164
03028 Beniarrés;Total;2015;1.208
03028 Beniarrés;Total;2014;1.254
03028 Beniarrés;Total;2013;1.268
03028 Beniarrés;Total;2012;1.271
03028 Beniarrés;Total;2011;1.295
03028 Beniarrés;Total;2010;1.317
03028 Beniarrés;Total;2009;1.323
03028 Beniarrés;Total;2008;1.323
03028 Beniarrés;Total;2007;1.335
03028 Beniarrés;Total;2006;1.324
03028 Beniarrés;Total;2005;1.380
03028 Beniarrés;Total;2004;1.363
03028 Beniarrés;Total;2003;1.396
03028 Beniarrés;Total;2002;1.387
03028 Beniarrés;Total;2001;1.402
03028 Beniarrés;Total;2000;1.397
03028 Beniarrés;Total;1999;1.414
03028 Beniarrés;Total;1998;1.447
03028 Beniarrés;Total;1997;""
03028 Beniarrés;Total;1996;1.464
03030 Benidoleig;Total;2022;1.232
03030 Benidoleig;Total;2021;1.166
03030 Benidoleig;Total;2020;1.078
03030 Benidoleig;Total;2019;1.095
03030 Benidoleig;Total;2018;1.110
03030 Benidoleig;Total;2017;1.080
03030 Benidoleig;Total;2016;1.117
03030 Benidoleig;Total;2015;1.196
03030 Benidoleig;Total;2014;1.189
03030 Benidoleig;Total;2013;1.333
03030 Benidoleig;Total;2012;1.315
03030 Benidoleig;Total;2011;1.305
03030 Benidoleig;Total;2010;1.261
03030 Benidoleig;Total;2009;1.275
03030 Benidoleig;Total;2008;1.221
03030 Benidoleig;Total;2007;1.139
03030 Benidoleig;Total;2006;1.113
03030 Benidoleig;Total;2005;1.044
03030 Benidoleig;Total;2004;995
03030 Benidoleig;Total;2003;972
03030 Benidoleig;Total;2002;967
03030 Benidoleig;Total;2001;910
03030 Benidoleig;Total;2000;860
03030 Benidoleig;Total;1999;817
03030 Benidoleig;Total;1998;781
03030 Benidoleig;Total;1997;""
03030 Benidoleig;Total;1996;783
03031 Benidorm;Total;2022;69.738
03031 Benidorm;Total;2021;69.118
03031 Benidorm;Total;2020;70.450
03031 Benidorm;Total;2019;68.721
03031 Benidorm;Total;2018;67.558
03031 Benidorm;Total;2017;66.831
03031 Benidorm;Total;2016;66.642
03031 Benidorm;Total;2015;69.045
03031 Benidorm;Total;2014;69.010
03031 Benidorm;Total;2013;73.768
03031 Benidorm;Total;2012;72.991
03031 Benidorm;Total;2011;72.062
03031 Benidorm;Total;2010;71.198
03031 Benidorm;Total;2009;71.034
03031 Benidorm;Total;2008;70.280
03031 Benidorm;Total;2007;69.058
03031 Benidorm;Total;2006;67.627
03031 Benidorm;Total;2005;67.492
03031 Benidorm;Total;2004;64.956
03031 Benidorm;Total;2003;64.267
03031 Benidorm;Total;2002;61.352
03031 Benidorm;Total;2001;57.227
03031 Benidorm;Total;2000;54.321
03031 Benidorm;Total;1999;52.845
03031 Benidorm;Total;1998;50.946
03031 Benidorm;Total;1997;""
03031 Benidorm;Total;1996;50.040
03032 Benifallim;Total;2022;106
03032 Benifallim;Total;2021;103
03032 Benifallim;Total;2020;104
03032 Benifallim;Total;2019;105
03032 Benifallim;Total;2018;108
03032 Benifallim;Total;2017;111
03032 Benifallim;Total;2016;114
03032 Benifallim;Total;2015;114
03032 Benifallim;Total;2014;121
03032 Benifallim;Total;2013;123
03032 Benifallim;Total;2012;110
03032 Benifallim;Total;2011;115
03032 Benifallim;Total;2010;114
03032 Benifallim;Total;2009;109
03032 Benifallim;Total;2008;115
03032 Benifallim;Total;2007;125
03032 Benifallim;Total;2006;127
03032 Benifallim;Total;2005;124
03032 Benifallim;Total;2004;132
03032 Benifallim;Total;2003;138
03032 Benifallim;Total;2002;140
03032 Benifallim;Total;2001;141
03032 Benifallim;Total;2000;148
03032 Benifallim;Total;1999;147
03032 Benifallim;Total;1998;151
03032 Benifallim;Total;1997;""
03032 Benifallim;Total;1996;169
03033 Benifato;Total;2022;139
03033 Benifato;Total;2021;135
03033 Benifato;Total;2020;136
03033 Benifato;Total;2019;140
03033 Benifato;Total;2018;149
03033 Benifato;Total;2017;148
03033 Benifato;Total;2016;158
03033 Benifato;Total;2015;156
03033 Benifato;Total;2014;168
03033 Benifato;Total;2013;198
03033 Benifato;Total;2012;202
03033 Benifato;Total;2011;201
03033 Benifato;Total;2010;199
03033 Benifato;Total;2009;187
03033 Benifato;Total;2008;194
03033 Benifato;Total;2007;188
03033 Benifato;Total;2006;175
03033 Benifato;Total;2005;165
03033 Benifato;Total;2004;173
03033 Benifato;Total;2003;168
03033 Benifato;Total;2002;164
03033 Benifato;Total;2001;155
03033 Benifato;Total;2000;148
03033 Benifato;Total;1999;138
03033 Benifato;Total;1998;136
03033 Benifato;Total;1997;""
03033 Benifato;Total;1996;140
03029 Benigembla;Total;2022;512
03029 Benigembla;Total;2021;483
03029 Benigembla;Total;2020;443
03029 Benigembla;Total;2019;490
03029 Benigembla;Total;2018;444
03029 Benigembla;Total;2017;433
03029 Benigembla;Total;2016;419
03029 Benigembla;Total;2015;490
03029 Benigembla;Total;2014;508
03029 Benigembla;Total;2013;566
03029 Benigembla;Total;2012;583
03029 Benigembla;Total;2011;606
03029 Benigembla;Total;2010;580
03029 Benigembla;Total;2009;589
03029 Benigembla;Total;2008;571
03029 Benigembla;Total;2007;570
03029 Benigembla;Total;2006;563
03029 Benigembla;Total;2005;559
03029 Benigembla;Total;2004;531
03029 Benigembla;Total;2003;509
03029 Benigembla;Total;2002;452
03029 Benigembla;Total;2001;380
03029 Benigembla;Total;2000;392
03029 Benigembla;Total;1999;389
03029 Benigembla;Total;1998;382
03029 Benigembla;Total;1997;""
03029 Benigembla;Total;1996;390
03034 Benijófar;Total;2022;3.427
03034 Benijófar;Total;2021;3.323
03034 Benijófar;Total;2020;3.293
03034 Benijófar;Total;2019;3.322
03034 Benijófar;Total;2018;3.357
03034 Benijófar;Total;2017;3.290
03034 Benijófar;Total;2016;3.163
03034 Benijófar;Total;2015;3.655
03034 Benijófar;Total;2014;3.791
03034 Benijófar;Total;2013;3.514
03034 Benijófar;Total;2012;4.207
03034 Benijófar;Total;2011;4.153
03034 Benijófar;Total;2010;4.004
03034 Benijófar;Total;2009;3.976
03034 Benijófar;Total;2008;3.900
03034 Benijófar;Total;2007;3.707
03034 Benijófar;Total;2006;3.541
03034 Benijófar;Total;2005;3.380
03034 Benijófar;Total;2004;3.138
03034 Benijófar;Total;2003;2.830
03034 Benijófar;Total;2002;2.434
03034 Benijófar;Total;2001;2.132
03034 Benijófar;Total;2000;1.866
03034 Benijófar;Total;1999;1.655
03034 Benijófar;Total;1998;1.621
03034 Benijófar;Total;1997;""
03034 Benijófar;Total;1996;1.592
03035 Benilloba;Total;2022;740
03035 Benilloba;Total;2021;737
03035 Benilloba;Total;2020;726
03035 Benilloba;Total;2019;724
03035 Benilloba;Total;2018;742
03035 Benilloba;Total;2017;755
03035 Benilloba;Total;2016;769
03035 Benilloba;Total;2015;786
03035 Benilloba;Total;2014;789
03035 Benilloba;Total;2013;794
03035 Benilloba;Total;2012;800
03035 Benilloba;Total;2011;811
03035 Benilloba;Total;2010;821
03035 Benilloba;Total;2009;839
03035 Benilloba;Total;2008;837
03035 Benilloba;Total;2007;843
03035 Benilloba;Total;2006;847
03035 Benilloba;Total;2005;874
03035 Benilloba;Total;2004;891
03035 Benilloba;Total;2003;903
03035 Benilloba;Total;2002;893
03035 Benilloba;Total;2001;933
03035 Benilloba;Total;2000;922
03035 Benilloba;Total;1999;920
03035 Benilloba;Total;1998;926
03035 Benilloba;Total;1997;""
03035 Benilloba;Total;1996;961
03036 Benillup;Total;2022;108
03036 Benillup;Total;2021;101
03036 Benillup;Total;2020;100
03036 Benillup;Total;2019;97
03036 Benillup;Total;2018;94
03036 Benillup;Total;2017;102
03036 Benillup;Total;2016;100
03036 Benillup;Total;2015;101
03036 Benillup;Total;2014;104
03036 Benillup;Total;2013;110
03036 Benillup;Total;2012;106
03036 Benillup;Total;2011;97
03036 Benillup;Total;2010;98
03036 Benillup;Total;2009;99
03036 Benillup;Total;2008;102
03036 Benillup;Total;2007;101
03036 Benillup;Total;2006;98
03036 Benillup;Total;2005;102
03036 Benillup;Total;2004;93
03036 Benillup;Total;2003;92
03036 Benillup;Total;2002;93
03036 Benillup;Total;2001;92
03036 Benillup;Total;2000;93
03036 Benillup;Total;1999;94
03036 Benillup;Total;1998;95
03036 Benillup;Total;1997;""
03036 Benillup;Total;1996;105
03037 Benimantell;Total;2022;499
03037 Benimantell;Total;2021;501
03037 Benimantell;Total;2020;497
03037 Benimantell;Total;2019;483
03037 Benimantell;Total;2018;490
03037 Benimantell;Total;2017;495
03037 Benimantell;Total;2016;494
03037 Benimantell;Total;2015;501
03037 Benimantell;Total;2014;499
03037 Benimantell;Total;2013;487
03037 Benimantell;Total;2012;518
03037 Benimantell;Total;2011;512
03037 Benimantell;Total;2010;514
03037 Benimantell;Total;2009;490
03037 Benimantell;Total;2008;472
03037 Benimantell;Total;2007;466
03037 Benimantell;Total;2006;468
03037 Benimantell;Total;2005;487
03037 Benimantell;Total;2004;447
03037 Benimantell;Total;2003;443
03037 Benimantell;Total;2002;378
03037 Benimantell;Total;2001;401
03037 Benimantell;Total;2000;415
03037 Benimantell;Total;1999;419
03037 Benimantell;Total;1998;417
03037 Benimantell;Total;1997;""
03037 Benimantell;Total;1996;432
03038 Benimarfull;Total;2022;410
03038 Benimarfull;Total;2021;397
03038 Benimarfull;Total;2020;396
03038 Benimarfull;Total;2019;409
03038 Benimarfull;Total;2018;413
03038 Benimarfull;Total;2017;418
03038 Benimarfull;Total;2016;427
03038 Benimarfull;Total;2015;433
03038 Benimarfull;Total;2014;431
03038 Benimarfull;Total;2013;423
03038 Benimarfull;Total;2012;417
03038 Benimarfull;Total;2011;408
03038 Benimarfull;Total;2010;414
03038 Benimarfull;Total;2009;440
03038 Benimarfull;Total;2008;440
03038 Benimarfull;Total;2007;441
03038 Benimarfull;Total;2006;433
03038 Benimarfull;Total;2005;441
03038 Benimarfull;Total;2004;455
03038 Benimarfull;Total;2003;443
03038 Benimarfull;Total;2002;415
03038 Benimarfull;Total;2001;408
03038 Benimarfull;Total;2000;410
03038 Benimarfull;Total;1999;406
03038 Benimarfull;Total;1998;407
03038 Benimarfull;Total;1997;""
03038 Benimarfull;Total;1996;408
03039 Benimassot;Total;2022;93
03039 Benimassot;Total;2021;97
03039 Benimassot;Total;2020;103
03039 Benimassot;Total;2019;106
03039 Benimassot;Total;2018;96
03039 Benimassot;Total;2017;99
03039 Benimassot;Total;2016;99
03039 Benimassot;Total;2015;111
03039 Benimassot;Total;2014;113
03039 Benimassot;Total;2013;113
03039 Benimassot;Total;2012;125
03039 Benimassot;Total;2011;129
03039 Benimassot;Total;2010;129
03039 Benimassot;Total;2009;123
03039 Benimassot;Total;2008;125
03039 Benimassot;Total;2007;131
03039 Benimassot;Total;2006;137
03039 Benimassot;Total;2005;140
03039 Benimassot;Total;2004;137
03039 Benimassot;Total;2003;140
03039 Benimassot;Total;2002;142
03039 Benimassot;Total;2001;146
03039 Benimassot;Total;2000;173
03039 Benimassot;Total;1999;185
03039 Benimassot;Total;1998;108
03039 Benimassot;Total;1997;""
03039 Benimassot;Total;1996;122
03040 Benimeli;Total;2022;419
03040 Benimeli;Total;2021;415
03040 Benimeli;Total;2020;429
03040 Benimeli;Total;2019;418
03040 Benimeli;Total;2018;410
03040 Benimeli;Total;2017;391
03040 Benimeli;Total;2016;384
03040 Benimeli;Total;2015;416
03040 Benimeli;Total;2014;419
03040 Benimeli;Total;2013;435
03040 Benimeli;Total;2012;424
03040 Benimeli;Total;2011;420
03040 Benimeli;Total;2010;413
03040 Benimeli;Total;2009;402
03040 Benimeli;Total;2008;427
03040 Benimeli;Total;2007;429
03040 Benimeli;Total;2006;389
03040 Benimeli;Total;2005;363
03040 Benimeli;Total;2004;355
03040 Benimeli;Total;2003;332
03040 Benimeli;Total;2002;336
03040 Benimeli;Total;2001;336
03040 Benimeli;Total;2000;326
03040 Benimeli;Total;1999;329
03040 Benimeli;Total;1998;331
03040 Benimeli;Total;1997;""
03040 Benimeli;Total;1996;329
03041 Benissa;Total;2022;11.871
03041 Benissa;Total;2021;11.462
03041 Benissa;Total;2020;11.288
03041 Benissa;Total;2019;11.005
03041 Benissa;Total;2018;10.768
03041 Benissa;Total;2017;10.879
03041 Benissa;Total;2016;11.000
03041 Benissa;Total;2015;11.598
03041 Benissa;Total;2014;11.572
03041 Benissa;Total;2013;13.932
03041 Benissa;Total;2012;13.808
03041 Benissa;Total;2011;13.536
03041 Benissa;Total;2010;13.369
03041 Benissa;Total;2009;13.221
03041 Benissa;Total;2008;13.140
03041 Benissa;Total;2007;12.690
03041 Benissa;Total;2006;12.424
03041 Benissa;Total;2005;11.935
03041 Benissa;Total;2004;11.405
03041 Benissa;Total;2003;12.098
03041 Benissa;Total;2002;11.051
03041 Benissa;Total;2001;10.556
03041 Benissa;Total;2000;10.078
03041 Benissa;Total;1999;9.687
03041 Benissa;Total;1998;9.368
03041 Benissa;Total;1997;""
03041 Benissa;Total;1996;9.154
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2022;4.687
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2021;4.447
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2020;4.452
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2019;4.276
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2018;4.130
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2017;4.020
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2016;4.104
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2015;4.690
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2014;4.659
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2013;5.720
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2012;5.698
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2011;5.568
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2010;5.488
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2009;5.399
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2008;5.216
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2007;4.773
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2006;4.276
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2005;3.808
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2004;3.425
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2003;3.316
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2002;2.932
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2001;2.553
03042 Benitachell/Poble Nou de Benitatxell, el;Total;2000;2.312
03042 Benitachell/Poble Nou de Benitatxell, el;Total;1999;2.131
03042 Benitachell/Poble Nou de Benitatxell, el;Total;1998;2.002
03042 Benitachell/Poble Nou de Benitatxell, el;Total;1997;""
03042 Benitachell/Poble Nou de Benitatxell, el;Total;1996;1.989
03043 Biar;Total;2022;3.612
03043 Biar;Total;2021;3.628
03043 Biar;Total;2020;3.655
03043 Biar;Total;2019;3.671
03043 Biar;Total;2018;3.651
03043 Biar;Total;2017;3.650
03043 Biar;Total;2016;3.647
03043 Biar;Total;2015;3.657
03043 Biar;Total;2014;3.670
03043 Biar;Total;2013;3.689
03043 Biar;Total;2012;3.695
03043 Biar;Total;2011;3.738
03043 Biar;Total;2010;3.703
03043 Biar;Total;2009;3.723
03043 Biar;Total;2008;3.694
03043 Biar;Total;2007;3.693
03043 Biar;Total;2006;3.647
03043 Biar;Total;2005;3.620
03043 Biar;Total;2004;3.574
03043 Biar;Total;2003;3.550
03043 Biar;Total;2002;3.578
03043 Biar;Total;2001;3.533
03043 Biar;Total;2000;3.562
03043 Biar;Total;1999;3.537
03043 Biar;Total;1998;3.528
03043 Biar;Total;1997;""
03043 Biar;Total;1996;3.568
03044 Bigastro;Total;2022;7.130
03044 Bigastro;Total;2021;6.994
03044 Bigastro;Total;2020;6.909
03044 Bigastro;Total;2019;6.733
03044 Bigastro;Total;2018;6.702
03044 Bigastro;Total;2017;6.656
03044 Bigastro;Total;2016;6.724
03044 Bigastro;Total;2015;6.714
03044 Bigastro;Total;2014;6.762
03044 Bigastro;Total;2013;6.730
03044 Bigastro;Total;2012;6.719
03044 Bigastro;Total;2011;6.788
03044 Bigastro;Total;2010;6.757
03044 Bigastro;Total;2009;6.744
03044 Bigastro;Total;2008;6.761
03044 Bigastro;Total;2007;6.588
03044 Bigastro;Total;2006;6.303
03044 Bigastro;Total;2005;5.962
03044 Bigastro;Total;2004;5.601
03044 Bigastro;Total;2003;5.421
03044 Bigastro;Total;2002;5.243
03044 Bigastro;Total;2001;5.039
03044 Bigastro;Total;2000;4.910
03044 Bigastro;Total;1999;4.829
03044 Bigastro;Total;1998;4.784
03044 Bigastro;Total;1997;""
03044 Bigastro;Total;1996;4.721
03045 Bolulla;Total;2022;413
03045 Bolulla;Total;2021;426
03045 Bolulla;Total;2020;417
03045 Bolulla;Total;2019;420
03045 Bolulla;Total;2018;418
03045 Bolulla;Total;2017;414
03045 Bolulla;Total;2016;412
03045 Bolulla;Total;2015;426
03045 Bolulla;Total;2014;421
03045 Bolulla;Total;2013;448
03045 Bolulla;Total;2012;450
03045 Bolulla;Total;2011;454
03045 Bolulla;Total;2010;423
03045 Bolulla;Total;2009;433
03045 Bolulla;Total;2008;415
03045 Bolulla;Total;2007;399
03045 Bolulla;Total;2006;390
03045 Bolulla;Total;2005;392
03045 Bolulla;Total;2004;364
03045 Bolulla;Total;2003;357
03045 Bolulla;Total;2002;355
03045 Bolulla;Total;2001;345
03045 Bolulla;Total;2000;324
03045 Bolulla;Total;1999;316
03045 Bolulla;Total;1998;302
03045 Bolulla;Total;1997;""
03045 Bolulla;Total;1996;306
03046 Busot;Total;2022;3.343
03046 Busot;Total;2021;3.207
03046 Busot;Total;2020;3.075
03046 Busot;Total;2019;2.978
03046 Busot;Total;2018;2.925
03046 Busot;Total;2017;2.904
03046 Busot;Total;2016;2.975
03046 Busot;Total;2015;3.075
03046 Busot;Total;2014;3.138
03046 Busot;Total;2013;3.429
03046 Busot;Total;2012;3.412
03046 Busot;Total;2011;3.314
03046 Busot;Total;2010;3.257
03046 Busot;Total;2009;3.148
03046 Busot;Total;2008;3.021
03046 Busot;Total;2007;2.847
03046 Busot;Total;2006;2.643
03046 Busot;Total;2005;2.421
03046 Busot;Total;2004;2.127
03046 Busot;Total;2003;1.998
03046 Busot;Total;2002;1.875
03046 Busot;Total;2001;1.793
03046 Busot;Total;2000;1.717
03046 Busot;Total;1999;1.615
03046 Busot;Total;1998;1.502
03046 Busot;Total;1997;""
03046 Busot;Total;1996;1.373
03049 Callosa de Segura;Total;2022;19.315
03049 Callosa de Segura;Total;2021;19.273
03049 Callosa de Segura;Total;2020;19.127
03049 Callosa de Segura;Total;2019;19.038
03049 Callosa de Segura;Total;2018;18.864
03049 Callosa de Segura;Total;2017;18.625
03049 Callosa de Segura;Total;2016;18.497
03049 Callosa de Segura;Total;2015;18.200
03049 Callosa de Segura;Total;2014;18.079
03049 Callosa de Segura;Total;2013;17.992
03049 Callosa de Segura;Total;2012;18.034
03049 Callosa de Segura;Total;2011;17.979
03049 Callosa de Segura;Total;2010;18.008
03049 Callosa de Segura;Total;2009;17.924
03049 Callosa de Segura;Total;2008;17.425
03049 Callosa de Segura;Total;2007;17.423
03049 Callosa de Segura;Total;2006;17.366
03049 Callosa de Segura;Total;2005;16.866
03049 Callosa de Segura;Total;2004;16.471
03049 Callosa de Segura;Total;2003;16.375
03049 Callosa de Segura;Total;2002;16.005
03049 Callosa de Segura;Total;2001;15.573
03049 Callosa de Segura;Total;2000;15.409
03049 Callosa de Segura;Total;1999;15.291
03049 Callosa de Segura;Total;1998;15.150
03049 Callosa de Segura;Total;1997;""
03049 Callosa de Segura;Total;1996;15.230
03048 Callosa d'en Sarrià;Total;2022;7.653
03048 Callosa d'en Sarrià;Total;2021;7.589
03048 Callosa d'en Sarrià;Total;2020;7.522
03048 Callosa d'en Sarrià;Total;2019;7.373
03048 Callosa d'en Sarrià;Total;2018;7.257
03048 Callosa d'en Sarrià;Total;2017;7.223
03048 Callosa d'en Sarrià;Total;2016;7.146
03048 Callosa d'en Sarrià;Total;2015;7.133
03048 Callosa d'en Sarrià;Total;2014;7.370
03048 Callosa d'en Sarrià;Total;2013;7.371
03048 Callosa d'en Sarrià;Total;2012;7.815
03048 Callosa d'en Sarrià;Total;2011;7.894
03048 Callosa d'en Sarrià;Total;2010;7.888
03048 Callosa d'en Sarrià;Total;2009;8.056
03048 Callosa d'en Sarrià;Total;2008;8.224
03048 Callosa d'en Sarrià;Total;2007;8.008
03048 Callosa d'en Sarrià;Total;2006;7.939
03048 Callosa d'en Sarrià;Total;2005;8.179
03048 Callosa d'en Sarrià;Total;2004;7.957
03048 Callosa d'en Sarrià;Total;2003;8.060
03048 Callosa d'en Sarrià;Total;2002;7.966
03048 Callosa d'en Sarrià;Total;2001;7.378
03048 Callosa d'en Sarrià;Total;2000;6.488
03048 Callosa d'en Sarrià;Total;1999;6.365
03048 Callosa d'en Sarrià;Total;1998;6.370
03048 Callosa d'en Sarrià;Total;1997;""
03048 Callosa d'en Sarrià;Total;1996;6.322
03047 Calp;Total;2022;24.096
03047 Calp;Total;2021;23.530
03047 Calp;Total;2020;23.326
03047 Calp;Total;2019;22.725
03047 Calp;Total;2018;21.633
03047 Calp;Total;2017;20.804
03047 Calp;Total;2016;19.591
03047 Calp;Total;2015;21.540
03047 Calp;Total;2014;22.437
03047 Calp;Total;2013;29.442
03047 Calp;Total;2012;29.550
03047 Calp;Total;2011;29.718
03047 Calp;Total;2010;29.909
03047 Calp;Total;2009;29.666
03047 Calp;Total;2008;29.228
03047 Calp;Total;2007;27.768
03047 Calp;Total;2006;26.382
03047 Calp;Total;2005;25.190
03047 Calp;Total;2004;23.653
03047 Calp;Total;2003;22.446
03047 Calp;Total;2002;20.103
03047 Calp;Total;2001;18.037
03047 Calp;Total;2000;16.733
03047 Calp;Total;1999;15.605
03047 Calp;Total;1998;14.819
03047 Calp;Total;1997;""
03047 Calp;Total;1996;14.216
03050 Campello, el;Total;2022;29.409
03050 Campello, el;Total;2021;29.013
03050 Campello, el;Total;2020;28.930
03050 Campello, el;Total;2019;28.349
03050 Campello, el;Total;2018;27.893
03050 Campello, el;Total;2017;27.604
03050 Campello, el;Total;2016;27.384
03050 Campello, el;Total;2015;27.356
03050 Campello, el;Total;2014;27.081
03050 Campello, el;Total;2013;28.184
03050 Campello, el;Total;2012;27.709
03050 Campello, el;Total;2011;27.345
03050 Campello, el;Total;2010;26.941
03050 Campello, el;Total;2009;26.511
03050 Campello, el;Total;2008;26.043
03050 Campello, el;Total;2007;25.055
03050 Campello, el;Total;2006;24.674
03050 Campello, el;Total;2005;23.640
03050 Campello, el;Total;2004;22.380
03050 Campello, el;Total;2003;21.761
03050 Campello, el;Total;2002;20.393
03050 Campello, el;Total;2001;19.238
03050 Campello, el;Total;2000;18.366
03050 Campello, el;Total;1999;17.564
03050 Campello, el;Total;1998;16.173
03050 Campello, el;Total;1997;""
03050 Campello, el;Total;1996;15.200
03051 Campo de Mirra/Camp de Mirra, el;Total;2022;433
03051 Campo de Mirra/Camp de Mirra, el;Total;2021;429
03051 Campo de Mirra/Camp de Mirra, el;Total;2020;417
03051 Campo de Mirra/Camp de Mirra, el;Total;2019;415
03051 Campo de Mirra/Camp de Mirra, el;Total;2018;428
03051 Campo de Mirra/Camp de Mirra, el;Total;2017;436
03051 Campo de Mirra/Camp de Mirra, el;Total;2016;440
03051 Campo de Mirra/Camp de Mirra, el;Total;2015;445
03051 Campo de Mirra/Camp de Mirra, el;Total;2014;437
03051 Campo de Mirra/Camp de Mirra, el;Total;2013;435
03051 Campo de Mirra/Camp de Mirra, el;Total;2012;444
03051 Campo de Mirra/Camp de Mirra, el;Total;2011;438
03051 Campo de Mirra/Camp de Mirra, el;Total;2010;420
03051 Campo de Mirra/Camp de Mirra, el;Total;2009;424
03051 Campo de Mirra/Camp de Mirra, el;Total;2008;426
03051 Campo de Mirra/Camp de Mirra, el;Total;2007;414
03051 Campo de Mirra/Camp de Mirra, el;Total;2006;409
03051 Campo de Mirra/Camp de Mirra, el;Total;2005;416
03051 Campo de Mirra/Camp de Mirra, el;Total;2004;428
03051 Campo de Mirra/Camp de Mirra, el;Total;2003;414
03051 Campo de Mirra/Camp de Mirra, el;Total;2002;413
03051 Campo de Mirra/Camp de Mirra, el;Total;2001;402
03051 Campo de Mirra/Camp de Mirra, el;Total;2000;397
03051 Campo de Mirra/Camp de Mirra, el;Total;1999;386
03051 Campo de Mirra/Camp de Mirra, el;Total;1998;382
03051 Campo de Mirra/Camp de Mirra, el;Total;1997;""
03051 Campo de Mirra/Camp de Mirra, el;Total;1996;379
03052 Cañada;Total;2022;1.191
03052 Cañada;Total;2021;1.191
03052 Cañada;Total;2020;1.208
03052 Cañada;Total;2019;1.220
03052 Cañada;Total;2018;1.214
03052 Cañada;Total;2017;1.242
03052 Cañada;Total;2016;1.245
03052 Cañada;Total;2015;1.229
03052 Cañada;Total;2014;1.242
03052 Cañada;Total;2013;1.249
03052 Cañada;Total;2012;1.237
03052 Cañada;Total;2011;1.235
03052 Cañada;Total;2010;1.238
03052 Cañada;Total;2009;1.231
03052 Cañada;Total;2008;1.217
03052 Cañada;Total;2007;1.203
03052 Cañada;Total;2006;1.203
03052 Cañada;Total;2005;1.198
03052 Cañada;Total;2004;1.176
03052 Cañada;Total;2003;1.179
03052 Cañada;Total;2002;1.193
03052 Cañada;Total;2001;1.152
03052 Cañada;Total;2000;1.132
03052 Cañada;Total;1999;1.121
03052 Cañada;Total;1998;1.096
03052 Cañada;Total;1997;""
03052 Cañada;Total;1996;1.088
03053 Castalla;Total;2022;11.097
03053 Castalla;Total;2021;10.752
03053 Castalla;Total;2020;10.461
03053 Castalla;Total;2019;10.124
03053 Castalla;Total;2018;9.880
03053 Castalla;Total;2017;9.876
03053 Castalla;Total;2016;9.859
03053 Castalla;Total;2015;9.994
03053 Castalla;Total;2014;10.143
03053 Castalla;Total;2013;10.579
03053 Castalla;Total;2012;10.573
03053 Castalla;Total;2011;10.541
03053 Castalla;Total;2010;10.513
03053 Castalla;Total;2009;10.327
03053 Castalla;Total;2008;10.021
