Municipios;Sexo;Periodo;Total
03008 Alcoleja;Total;2011;193
03008 Alcoleja;Total;2010;201
03008 Alcoleja;Total;2009;206
03008 Alcoleja;Total;2008;211
03008 Alcoleja;Total;2007;219
03008 Alcoleja;Total;2006;213
03008 Alcoleja;Total;2005;228
03008 Alcoleja;Total;2004;241
03008 Alcoleja;Total;2003;244
03008 Alcoleja;Total;2002;245
03008 Alcoleja;Total;2001;256
03008 Alcoleja;Total;2000;257
03008 Alcoleja;Total;1999;271
03008 Alcoleja;Total;1998;279
03008 Alcoleja;Total;1997;""
03008 Alcoleja;Total;1996;294
03007 Alcosser;Total;2022;254
03007 Alcosser;Total;2021;243
03007 Alcosser;Total;2020;226
03007 Alcosser;Total;2019;230
03007 Alcosser;Total;2018;229
03007 Alcosser;Total;2017;230
03007 Alcosser;Total;2016;221
03007 Alcosser;Total;2015;216
03007 Alcosser;Total;2014;238
03007 Alcosser;Total;2013;241
03007 Alcosser;Total;2012;233
03007 Alcosser;Total;2011;231
03007 Alcosser;Total;2010;230
03007 Alcosser;Total;2009;228
03007 Alcosser;Total;2008;234
03007 Alcosser;Total;2007;216
03007 Alcosser;Total;2006;194
03007 Alcosser;Total;2005;179
03007 Alcosser;Total;2004;177
03007 Alcosser;Total;2003;164
03007 Alcosser;Total;2002;154
03007 Alcosser;Total;2001;138
03007 Alcosser;Total;2000;129
03007 Alcosser;Total;1999;123
03007 Alcosser;Total;1998;130
03007 Alcosser;Total;1997;""
03007 Alcosser;Total;1996;122
03009 Alcoy/Alcoi;Total;2022;58.960
03009 Alcoy/Alcoi;Total;2021;59.128
03009 Alcoy/Alcoi;Total;2020;59.354
03009 Alcoy/Alcoi;Total;2019;58.994
03009 Alcoy/Alcoi;Total;2018;58.977
03009 Alcoy/Alcoi;Total;2017;59.106
03009 Alcoy/Alcoi;Total;2016;59.198
03009 Alcoy/Alcoi;Total;2015;59.567
03009 Alcoy/Alcoi;Total;2014;59.675
03009 Alcoy/Alcoi;Total;2013;60.105
03009 Alcoy/Alcoi;Total;2012;60.837
03009 Alcoy/Alcoi;Total;2011;61.093
03009 Alcoy/Alcoi;Total;2010;61.417
03009 Alcoy/Alcoi;Total;2009;61.552
03009 Alcoy/Alcoi;Total;2008;61.698
03009 Alcoy/Alcoi;Total;2007;60.700
03009 Alcoy/Alcoi;Total;2006;60.590
03009 Alcoy/Alcoi;Total;2005;60.931
03009 Alcoy/Alcoi;Total;2004;60.532
03009 Alcoy/Alcoi;Total;2003;60.036
03009 Alcoy/Alcoi;Total;2002;60.465
03009 Alcoy/Alcoi;Total;2001;60.288
03009 Alcoy/Alcoi;Total;2000;60.423
03009 Alcoy/Alcoi;Total;1999;60.476
03009 Alcoy/Alcoi;Total;1998;60.476
03009 Alcoy/Alcoi;Total;1997;""
03009 Alcoy/Alcoi;Total;1996;60.921
03010 Alfafara;Total;2022;417
03010 Alfafara;Total;2021;408
03010 Alfafara;Total;2020;406
03010 Alfafara;Total;2019;410
03010 Alfafara;Total;2018;407
03010 Alfafara;Total;2017;405
03010 Alfafara;Total;2016;399
03010 Alfafara;Total;2015;406
03010 Alfafara;Total;2014;418
03010 Alfafara;Total;2013;415
03010 Alfafara;Total;2012;419
03010 Alfafara;Total;2011;424
03010 Alfafara;Total;2010;419
03010 Alfafara;Total;2009;413
03010 Alfafara;Total;2008;422
03010 Alfafara;Total;2007;430
03010 Alfafara;Total;2006;422
03010 Alfafara;Total;2005;430
03010 Alfafara;Total;2004;426
03010 Alfafara;Total;2003;411
03010 Alfafara;Total;2002;406
03010 Alfafara;Total;2001;389
03010 Alfafara;Total;2000;394
03010 Alfafara;Total;1999;388
03010 Alfafara;Total;1998;392
03010 Alfafara;Total;1997;""
03010 Alfafara;Total;1996;391
03011 Alfàs del Pi, l';Total;2022;20.668
03011 Alfàs del Pi, l';Total;2021;20.495
03011 Alfàs del Pi, l';Total;2020;20.042
03011 Alfàs del Pi, l';Total;2019;20.482
03011 Alfàs del Pi, l';Total;2018;20.053
03011 Alfàs del Pi, l';Total;2017;18.394
03011 Alfàs del Pi, l';Total;2016;21.494
03011 Alfàs del Pi, l';Total;2015;21.700
03011 Alfàs del Pi, l';Total;2014;21.357
03011 Alfàs del Pi, l';Total;2013;21.969
03011 Alfàs del Pi, l';Total;2012;21.964
03011 Alfàs del Pi, l';Total;2011;21.670
03011 Alfàs del Pi, l';Total;2010;21.332
03011 Alfàs del Pi, l';Total;2009;21.011
03011 Alfàs del Pi, l';Total;2008;20.939
03011 Alfàs del Pi, l';Total;2007;19.913
03011 Alfàs del Pi, l';Total;2006;18.469
03011 Alfàs del Pi, l';Total;2005;16.843
03011 Alfàs del Pi, l';Total;2004;14.656
03011 Alfàs del Pi, l';Total;2003;16.164
